address,annotate,author,booktitle,chapter,crossref,edition,editor,howpublished,institution,journal,key,month,note,number,organization,pages,publisher,school,series,title,type,volume,year,entrytype,tags,intrahash,citation,merged
 , ,Raj Aggarwal and Kevin T. Jacques, , , , , , , ,Journal of Banking \& Finance, ,Jun, ,6, , , , , ,The impact of FDICIA and prompt corrective action on bank capital and risk: Estimates using a simultaneous equations model, ,25,2001,article,http://www.bibsonomy.org/api/tags/FDICIAFDICIA,2729944f6fc840f89b6c46874b51eccd, , 
 , ,Raj Aggarwal and Mbodja Mougoue, , , , , , , ,Economics Letters, , , ,2, , , , , ,Cointegration among Southeast Asian and Japanese currencies: Preliminary evidence of a Yen bloc?, ,41,1993,article,http://www.bibsonomy.org/api/tags/importedimported,f3d82e6f92ab7a4fff6ee2502e710a51, , 
 , ,C. C. Aggarwal and P. S. Yu,"Proceedings of the 17th ACM SIGACT-SIGMOD-SIGART symposium on Principles
    of Database Systems (PODS'98)", , , , , , , , ,June, , , , ,ACM Press, , ,A new framework for itemset generation, , ,1998,inproceedings,http://www.bibsonomy.org/api/tags/OntologyHandbookOntologyHandbookhttp://www.bibsonomy.org/api/tags/FCAFCA,185642fbd640dafe657315524bb45133, , 
 , ,Arun Khosla and Shakti Kumar and K. K. Aggarwal and Jagatpreet Singh,Swarm Intelligent Systems, ,series/sci/2006-26, ,Nadia Nedjah and Luiza de Macedo Mourelle, , , , , , , , , ,Springer, ,Studies in Computational Intelligence,A Matlab Implementation of Swarm Intelligence based Methodology for Identification of Optimized Fuzzy Models., ,26,2006,incollection,http://www.bibsonomy.org/api/tags/dblpdblp,493dad8252b68fa938e621a64b6098e4, , 
 , ,Vaneet Aggarwal and Amir Bennatan and A. Robert Calderbank, , , , , , , ,CoRR, , ,informal publication, , , , , , ,On Maximizing Coverage in Gaussian Relay Networks, ,abs/0802.2360,2008,article,http://www.bibsonomy.org/api/tags/dblpdblp,afa4edaa9713698f0f583af5e667ce42, , 
 , ,Vinay Aggarwal and Obi Akonjang and Anja Feldmann and Rumen Tashev and Sebastian Mohrs,PDP, ,conf/pdp/2008, , , , , , , , , , , ,IEEE Computer Society, , ,Reflecting P2P User Behaviour Models in a Simulation Environment., , ,2008,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,8d3d77aa067f399eb10ccdd839282636, , 
 , ,Raj K. Aggarwal and Q. Y. Xuan and Allan T. Johns and Furong Li and Alan Bennett, , , , , , , ,IEEE Transactions on Neural Networks, , , ,5, , , , , ,A novel approach to fault diagnosis in multicircuit transmission lines using fuzzy ARTmap neural networks., ,10,1999,article,http://www.bibsonomy.org/api/tags/dblpdblp,414bab536791cb32895f58964db3b8bc, , 
 , ,Ajay K. Aggarwal and Steven D. Travers and Carol E. H. Scott-Conner, , , , , , , ,Cybernetics and Systems, , , ,4, , , , , ,Selection of Surgical Residents: a Neural Network Approach., ,31,2000,article,http://www.bibsonomy.org/api/tags/dblpdblp,78dfc7de399f3e6370c635b57a58b5b0, , 
 , ,Nupur Shrivastava and Nitika Aggarwal and Sakshi Gupta and Happy Himanshu Gupta and Vikas Saxena,International Conference on Internet Computing, ,conf/ic/2007, ,Hamid R. Arabnia and Victor A. Clincy and Joan Lu and Jan Smid, , , , , , , , , ,CSREA Press, , ,Extending Open Source Solution for Performance Testing of Web (http/https) Application., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,9458bd88bc58dc2bce1091b5cf148c88, , 
 , ,Minkyu Kim and Varun Aggarwal and Una-May O'Reilly and Muriel Médard, , , , , , , ,CoRR, , ,informal publication, , , , , , ,A Doubly Distributed Genetic Algorithm for Network Coding, ,abs/0704.1198,2007,article,http://www.bibsonomy.org/api/tags/dblpdblp,888f5705e3592bec6f5b4bbb0f28c73c, , 
 , ,Vaneet Aggarwal and A. Robert Calderbank, , , , , , , ,CoRR, , ,informal publication, , , , , , ,"Boolean Functions, Projection Operators and Quantum Error Correcting Codes", ,abs/cs/0610159,2006,article,http://www.bibsonomy.org/api/tags/dblpdblp,8ac929bab7377bad7a6222a5c830cf02, , 
 , ,Charu C. Aggarwal and Na Ta and Jianyong Wang and Jianhua Feng and Mohammed Javeed Zaki,KDD, ,conf/kdd/2007, ,Pavel Berkhin and Rich Caruana and Xindong Wu, , , , , , , , , ,ACM, , ,Xproj: a framework for projected structural clustering of xml documents., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,d646b6ffc143f23ab2f74a7c4d0fc7b7, , 
 , ,Charu C. Aggarwal and Joel L. Wolf and Kun-Lung Wu and Philip S. Yu, , , , , , , ,Knowledge Discovery and Data Mining, , , , , , , , , ,Horting Hatches an Egg: A New Graph--Theoretic Approach to Collaborative Filtering, , ,1999,article,http://www.bibsonomy.org/api/tags/importedimported,a343175f4d13ef12a0359425893d05d9, , 
 , ,David McBride and Marko Krznaric and Olivier van der Aa and Mona Aggarwal and John Darlington and Dave Colling,e-Science, ,conf/eScience/2006, , , , , , , , , , , ,IEEE Computer Society, , ,Running a Production Grid Site at the London e-Science Centre., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,16d0e3b428e901dd4a8ea767d3840a7e, , 
 , ,Nitin Aggarwal and Eric A. Walden,ICEC, ,conf/ACMicec/2007, ,Maria L. Gini and Robert J. Kauffman and Donna Sarppo and Chrysanthos Dellarocas and Frank Dignum, , , , , , , , , ,ACM, ,ACM International Conference Proceeding Series,The problem of distributed intellectual property bundles: a transaction cost perspective., ,258,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,8a14e476f2f2d12bb04a72f5de859c05, , 
 , ,Charu C. Aggarwal and Joel L. Wolf and Kun-Lung Wu and Philip S. Yu,Knowledge Discovery and Data Mining, , , , , , , , , , , , , , , , ,Horting Hatches an Egg: A New Graph-Theoretic Approach to Collaborative Filtering, , ,1999,inproceedings,http://www.bibsonomy.org/api/tags/filteringfilteringhttp://www.bibsonomy.org/api/tags/importedimportedhttp://www.bibsonomy.org/api/tags/graphtheorygraphtheoryhttp://www.bibsonomy.org/api/tags/collaborativecollaborative,75aeaa8efc2f1d07dd67c55dc891c32d, , 
 , ,A. Aggarwal and W. T. Ma and G. V. H. Sandri and S. Sarkar,IPPS, ,conf/ipps/1992, ,Viktor K. Prasanna and Larry H. Canter, , , , , , , , , ,IEEE Computer Society, , ,Adaptive Graph Computations with a Connection Machine., , ,1992,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,7946b6eb9f005e844580d647ae3d3c5f, , 
 , ,Gagan Aggarwal and Mayank Bawa and Prasanna Ganesan and Hector Garcia-Molina and Krishnaram Kenthapadi and Rajeev Motwani and Utkarsh Srivastava and Dilys Thomas and Ying Xu 0002,CIDR, , , , , , , , , , , , , , , , ,Two Can Keep A Secret: A Distributed Architecture for Secure Database Services., , ,2005,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,dde94636835ecc827dbb74013a95a439, , 
 , ,Koichi Sato and Brian L. Evans and J. K. Aggarwal, , , , , , , ,VLSI Signal Processing, , , ,1, , , , , ,Designing an Embedded Video Processing Camera Using a 16-bit Microprocessor for a Surveillance System., ,42,2006,article,http://www.bibsonomy.org/api/tags/dblpdblp,fb2b3f42ba3dcdcdb115e6e9e97fbf57, , 
 , ,Charu C. Aggarwal,KDD, ,conf/kdd/2007, ,Pavel Berkhin and Rich Caruana and Xindong Wu, , , , , , , , , ,ACM, , ,A framework for classification and segmentation of massive audio data streams., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,8a386da7411113a4cae490996931410f, , 
 , ,Minkyu Kim and Varun Aggarwal and Una-May O'Reilly and Muriel Médard,GECCO, ,conf/gecco/2007, ,Hod Lipson, , , , , , , , , ,ACM, , ,A doubly distributed genetic algorithm for network coding., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,22070b318966d9daaf0de2dedbdbdcb1, , 
 , ,Varun Aggarwal and Una-May O'Reilly,GECCO, ,conf/gecco/2007, ,Hod Lipson, , , , , , , , , ,ACM, , ,COSMO: a correlation sensitive mutation operator for multi-objective optimization., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,125979cfd52e384c15396d9b46dd7547, , 
 , ,Kun-Lung Wu and Philip S. Yu and Bugra Gedik and Kirsten Hildrum and Charu C. Aggarwal and Eric Bouillet and Wei Fan and David George and Xiaohui Gu and Gang Luo and Haixun Wang,VLDB, ,conf/vldb/2007, ,Christoph Koch and Johannes Gehrke and Minos N. Garofalakis and Divesh Srivastava and Karl Aberer and Anand Deshpande and Daniela Florescu and Chee Yong Chan and Venkatesh Ganti and Carl-Christian Kanne and Wolfgang Klas and Erich J. Neuhold, , , , , , , , , ,ACM, , ,Challenges and Experience in Prototyping a Multi-Modal Stream Analytic and Monitoring Application on System S., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,d6e34def17a0152fd41e3bec4137149e, , 
 , ,Michael Rabinovich and Irina Rabinovich and Rajmohan Rajaraman and Amit Aggarwal,ICDCS, , , , , , , , , , , , , , , , ,A Dynamic Object Replication and Migration Protocol for an Internet Hosting Service., , ,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,42fcb0da887239a974a15f7cd2b7cba1, , 
"New York, NY, USA", ,Charu C. Aggarwal and Joel L. Wolf and Kun-Lung Wu and Philip S. Yu,KDD '99: Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining, , , , , , , , , , , , , ,ACM Press, , ,Horting hatches an egg: a new graph-theoretic approach to collaborative filtering, , ,1999,inproceedings,http://www.bibsonomy.org/api/tags/importedimported,6a3906cebe026bad18ced22fe1fa7a52, , 
 , ,Jamal Moshtagh and R. K. Aggarwal,CCECE, ,conf/ccece/2006, , , , , , , , , , , ,IEEE, , ,A New Approach to Ungrounded Fault Location in a Three-Phase Underground Distribution System using Combined Neural Networks & Wavelet Analysis., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,5741762f9d72a19c21814d0c94662c6d, , 
 , ,Panneerselvam Kolandaivel and Rajat Aggarwal,CCECE, ,conf/ccece/2006, , , , , , , , , , , ,IEEE, , ,A Novel Earthquake Mitigation Information expert System: EMIS., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,fd85ced7f5f36810fa468f51d6b0f42d, , 
 , ,Akshai K. Aggarwal and Mona Aggarwal,HPCS, ,conf/hpcs/2006, , , , , , , , , , , ,IEEE Computer Society, , ,A Unified Scheduling Algorithm for Grid Applications., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,71a981f796cab1d583544eccf153db78, , 
 , ,Lichun Zhu and Robert D. Kent and Akshai K. Aggarwal and Peiris Viranthi and Quazi Rahman and Tarik Elamsy and Ositadimma Ejelike,HPCS, ,conf/hpcs/2007, , , , , , , , , , , ,IEEE Computer Society, , ,Construction of a Webportal and User Management Framework for Grid., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,7eb8dcbe1e68eef806fd7bbc26e548d7, , 
 , ,V. Aggarwal and Yash P. Aneja and K. P. K. Nair, , , , , , , ,Computers & OR, , , ,4, , , , , ,Minimal spanning tree subject to a side constraint., ,9,1982,article,http://www.bibsonomy.org/api/tags/dblpdblp,b72bb0701e56a37225f442c1b59828e9, , 
 , ,Vida Kianzad and Sankalita Saha and Jason Schlessman and Gaurav Aggarwal and Shuvra S. Bhattacharyya and Wayne Wolf and Rama Chellappa,CODES+ISSS, ,conf/codes/2005, ,Petru Eles and Axel Jantsch and Reinaldo A. Bergamaschi, , , , , , , , , ,ACM, , ,An architectural level design methodology for embedded face detection., , ,2005,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,77f3363d46721506c0c04bd23e706dc4, , 
 , ,Ashish Aggarwal and Shankar L. Regunathan and Kenneth Rose, , , , , , , ,"IEEE Transactions on Audio, Speech & Language Processing", , , ,2, , , , , ,A trellis-based optimal parameter value selection for audio coding., ,14,2006,article,http://www.bibsonomy.org/api/tags/dblpdblp,8cba47739c3797e270c83c7840387c8a, , 
 , ,Michael S. Ryoo and Jake K. Aggarwal,IJCAI, ,conf/ijcai/2007, ,Manuela M. Veloso, , , , , , , , , , , , ,Robust Human-Computer Interaction System Guiding a User by Providing Feedback., , ,2007,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,2490edf334a2d2a170670ae988a2eb30, , 
 , ,Mohan K. Kadalbajoo and Vivek K. Aggarwal, , , , , , , ,Int. J. Comput. Math., , , ,1, , , , , ,Fitted mesh B-spline method for solving a class of singular singularly perturbed boundary value problems., ,82,2005,article,http://www.bibsonomy.org/api/tags/dblpdblp,7735019deedae4cff48765f345a98f0d, , 
 , ,Shalini Aggarwal and Stephen Mann,GRAPP, ,conf/grapp/2006, ,José Braz and Joaquim A. Jorge and Miguel Dias and Adérito Marcos, , , , , , , , , ,"INSTICC - Institute for Systems and Technologies of Information, Control and Communication", , ,A comparison of cylindrical pasting methods., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,15a2989d0c1c2a692f49b712a34d7d1f, , 
 , ,Rajagopal Subramaniyan and Vikas Aggarwal and Adam Jacobs and Alan George,ESA, ,conf/csreaESA/2006, ,Hamid R. Arabnia, , , , , , , , , ,CSREA Press, , ,FEMPI: A Lightweight Fault-tolerant MPI for Embedded Cluster Systems., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,bc708e5f120e51efac8bd1174d20eca2, , 
 , ,Brian Holland and James Greco and Ian A. Troxel and Gabe Barfield and Vikas Aggarwal and Alan D. George,ERSA, ,conf/ersa/2006, ,Toomas P. Plaks, , , , , , , , , ,CSREA Press, , ,Compile- and Run-Time Services for Distributed Hetergeneous Reconfigurable Computing., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,c4ed1e30573ad306bbaa7da6bb005faa, , 
 , ,S. Biswas and Sanjeev K. Aggarwal,IASTED Conf. on Software Engineering, ,conf/iastedSE/2004, ,M. H. Hamza, , , , , , , , , ,IASTED/ACTA Press, , ,A technique for extracting grammar from legacy programs., , ,2004,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,fe8f0b598ce802583ad9a77c477e66ca, , 
"New York, NY, USA", ,Sangho Park and J. K. Aggarwal, , , , , , , ,Computer Vision and Image Understanding, , , ,1, , ,Elsevier Science Inc., , ,Simultaneous tracking of multiple body parts of interacting persons, ,102,2006,article,http://www.bibsonomy.org/api/tags/behavior-analysisbehavior-analysishttp://www.bibsonomy.org/api/tags/videovideohttp://www.bibsonomy.org/api/tags/trackingtracking,d052de550090bc7f3b4ff9ec38c38632, , 
 , ,S. S. Sheik and Sumit K. Aggarwal and Anindya Poddar and N. Balakrishnan and Krishna Sekar, , , , , , , ,Journal of Chemical Information and Modeling, , , ,4, , , , , ,A FAST Pattern Matching Algorithm., ,44,2004,article,http://www.bibsonomy.org/api/tags/dblpdblp,be2b7fe1ea7b49386492a4e8b192d8aa, , 
 , ,A. Aggarwal and Kurtiss J. Gordon and James F. Kurose and Robert F. Gordon and Edward A. MacNair,Winter Simulation Conference, ,conf/wsc/1989, ,Edward A. MacNair and Kenneth J. Musselman and Philip Heidelberger, , , , , , , , , ,ACM Press, , ,Animating simulations in RESQME., , ,1989,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,91834666e568e8eaae38b0c14d91aa0b, , 
 , ,Yuh-Lin Chang and Jake K. Aggarwal, , , , , , , ,Computer Vision and Image Understanding, , , ,2, , , , , ,Line Correspondences from Cooperating Spatial and Temporal Grouping Processes for a Sequence of Images., ,67,1997,article,http://www.bibsonomy.org/api/tags/dblpdblp,7d239e1e2e0451728cb672f7bf7068e3, , 
 , ,Bikash Sabata and Jake K. Aggarwal, , , , , , , ,Computer Vision and Image Understanding, , , ,2, , , , , ,Surface Correspondence and Motion Computation from a Pair of Range Images., ,63,1996,article,http://www.bibsonomy.org/api/tags/dblpdblp,7544c5cbad774a40b176ead28fc68ba3, , 
 , ,Vipin Chaudhary and Jake K. Aggarwal, , , , , , , ,IEEE Trans. Parallel Distrib. Syst., , , ,3, , , , , ,A Generalized Scheme for Mapping Parallel Algorithms., ,4,1993,article,http://www.bibsonomy.org/api/tags/dblpdblp,fe0f1cf7607a86285296ce9264cf4d9e, , 
 , ,Vipin Chaudhary and Jake K. Aggarwal,ICPP (2), ,conf/icpp/1990-2, ,David A. Padua, , , , , , , , , ,Pennsylvania State University Press, , ,Generalized Mapping of Parallel Algorithms Onto Parallel Architectures., , ,1990,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,a93f8b83c31e4e5c881a6e04f6ebb82a, , 
 , ,Bikash Sabata and Jake K. Aggarwal,ICRA, , , , , , , , , , , , , , , , ,Surface Correspondence and Motion Computation from a Sequence of Range Images., , ,1994,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,4d71ae1d84debed7b312478bb3f962a5, , 
 , ,Jake K. Aggarwal and Quin Cai, , , , , , , ,Computer Vision and Image Understanding, , , ,3, , , , , ,Human Motion Analysis: A Review., ,73,1999,article,http://www.bibsonomy.org/api/tags/dblpdblp,2db62ebc5bf769238465bc086454ace7, , 
 , ,Quin Cai and Jake K. Aggarwal, , , , , , , ,IEEE Trans. Pattern Anal. Mach. Intell., , , ,11, , , , , ,Tracking Human Motion in Structured Environments Using a Distributed-Camera System., ,21,1999,article,http://www.bibsonomy.org/api/tags/dblpdblp,390e6e6d07a0f5869391aa85f6aaf729, , 
 , ,Sankalita Saha and Chung-Ching Shen and Chia-Jui Hsu and Gaurav Aggarwal and Ashok Veeraraghavan and Alan Sussman and Shuvra S. Bhattacharyya,ICPP Workshops, ,conf/icppw/2006, , , , , , , , , , , ,IEEE Computer Society, , ,Model-Based OpenMP Implementation of a 3D Facial Pose Tracking System., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,0001e0cffa5d015628bc13d1ce61eed3, , 
 , ,C. H. Chien and Jake K. Aggarwal, , , , , , , ,"Computer Vision, Graphics, and Image Processing", , , ,3, , , , , ,A normalized quadtree representation., ,26,1984,article,http://www.bibsonomy.org/api/tags/dblpdblp,6969febed2faf886f1337c213a84b818, , 
 , ,Jake K. Aggarwal,ICEIS (1), ,conf/iceis/2006, ,Yannis Manolopoulos and Joaquim Filipe and Panos Constantopoulos and José Cordeiro, , , , , , , , , , , , ,Human Activity Recognition - A Grand Challenge., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,e438de84d7af3c259a41af16e7921413, , 
 , ,A. K. Aggarwal and Harbhajan Kehal and Morgan Jennings and Pekka Makkonen and Liliane Esnault and Minnie Yi-Miin Yen and Paul Darbyshire,IRMA Conference, ,conf/irma/2000, ,Mehdi Khosrowpour, , , , , , , , , ,IDEA Group Publishing, , ,Web-based education diffusion across disciplines and boundaries., , ,2000,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,1150b997764fe377bb7557bda4474b87, , 
 , ,Charu C. Aggarwal and Philip S. Yu,SDM, ,conf/sdm/2006, ,Joydeep Ghosh and Diane Lambert and David B. Skillicorn and Jaideep Srivastava, , , , , , , , , ,SIAM, , ,A Framework for Clustering Massive Text and Categorical Data Streams., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,2466162839832e6cb4d808e6bbfc1df7, , 
 , ,Charu C. Aggarwal,SDM, ,conf/sdm/2006, ,Joydeep Ghosh and Diane Lambert and David B. Skillicorn and Jaideep Srivastava, , , , , , , , , ,SIAM, , ,A Framework for Local Supervised Dimensionality Reduction of High Dimensional Data., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,4f2f7306a4c702152af83164f2e9b385, , 
 , ,Randy J. Arnold and Narmada Jayasankar and Divya Aggarwal and Haixu Tang and Predrag Radivojac,Pacific Symposium on Biocomputing, ,conf/psb/2006, ,Russ B. Altman and Tiffany Murray and Teri E. Klein and A. Keith Dunker and Lawrence Hunter, , , , , , , , , ,World Scientific, , ,A Machine Learning Approach to Predicting Peptide Fragmentation Spectra., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,9c683421b74e5981c498a25473a516c0, , 
"New York, NY, USA", ,Charu C. Aggarwal, , , , , , , ,SIGKDD Explor. Newsl., , , ,2, , ,ACM Press, , ,Towards effective and interpretable data mining by visual interaction, ,3,2002,article,"http://www.bibsonomy.org/api/tags/Clustering,Clustering,http://www.bibsonomy.org/api/tags/DataDatahttp://www.bibsonomy.org/api/tags/Mining,Mining,http://www.bibsonomy.org/api/tags/VisualisationVisualisation",fc6b62cbc9ab4b6fbb96ffe24f495337, , 
 , ,Alpana Dubey and Pankaj Jalote and Sanjeev Kumar Aggarwal,SAC, ,conf/sac/2006, ,Hisham Haddad, , , , , , , , , ,ACM, , ,A deterministic technique for extracting keyword based grammar rules from programs., , ,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,97fbea7cb508cae7806fc6bad7be637a, , 
 , ,N. Chakraborti and P. Mishra and A. Aggarwal and A. Banerjee and S. S. Mukherjee, , , , , , , ,Appl. Soft Comput., , , ,2, , , , , ,The Williams and Otto Chemical Plant re-evaluated using a Pareto-optimal formulation aided by Genetic Algorithms., ,6,2006,article,http://www.bibsonomy.org/api/tags/dblpdblp,c5071087360f5a918837f37f43107982, , 
 , ,Gautam Aggarwal and E. A. Worthey and Paul D. McDonagh and Peter J. Myler, , , , , , , ,BMC Bioinformatics, , , , , , , , , ,Importing statistical measures into Artemis enhances gene identification in the Leishmania genome project., ,4,2003,article,http://www.bibsonomy.org/api/tags/dblpdblp,5e2c01981ca6f771e93e22f45f8b1c25, , 
 , ,Charu C. Aggarwal and Jiawei Han and Jianyong Wang and Philip S. Yu, , , , , , , ,IEEE Trans. Knowl. Data Eng., , , ,5, , , , , ,A Framework for On-Demand Classification of Evolving Data Streams., ,18,2006,article,http://www.bibsonomy.org/api/tags/dblpdblp,b36bf0667af34c5aa6abebcc4c81986e, , 
 , ,Sarwan K. Aggarwal and James A. Heinen, , , , , , , ,Information and Control, ,November, ,2, , , , , ,A General Class of Noncontext Free Grammars Generating Context Free Languages, ,43,1979,article,http://www.bibsonomy.org/api/tags/dblpdblp,4d5692cc47a2c7ed3c7198c9dd4051b4, , 
 , ,Alok Aggarwal,FOCS, ,conf/focs/FOCS25, , , , , , , , , , , ,IEEE, , ,"A Comparative Study of X-Tree, Pyramid and Related Machines", , ,1984,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,04d2c4ebb374016d53e27d5254ebee05, , 
 , ,Alok Aggarwal and Richard J. Anderson,STOC, ,conf/stoc/STOC19, , , , , , , , , , , ,ACM, , ,A Random NC Algorithm for Depth First Search, , ,1987,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,ac6dd259fb993bfe89fc2e996ee9d57c, , 
 , ,Alok Aggarwal and Leonidas J. Guibas and James B. Saxe and Peter W. Shor,STOC, ,conf/stoc/STOC19, , , , , , , , , , , ,ACM, , ,A Linear Time Algorithm for Computing the Voronoi Diagram of a Convex Polygon, , ,1987,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,a2e378f0e3ffa396778de601d1bd1403, , 
 , ,Alok Aggarwal and Bowen Alpern and Ashok K. Chandra and Marc Snir,STOC, ,conf/stoc/STOC19, , , , , , , , , , , ,ACM, , ,A Model for Hierarchical Memory, , ,1987,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,6923f3e45b88ab11558bf364182a0e50, , 
 , ,Charu C. Aggarwal and Philip S. Yu,PODS, ,conf/pods/98, , , , , , , , , , , ,ACM Press, , ,A New Framework For Itemset Generation., , ,1998,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,60aa00496728169caed63420f4cd6a61, , 
 , ,Charu C. Aggarwal and Philip S. Yu,SIGMOD Conference, ,conf/sigmod/2000, ,Weidong Chen and Jeffrey F. Naughton and Philip A. Bernstein, , , , , , , , , ,ACM, , ,Finding Generalized Projected Clusters In High Dimensional Spaces., , ,2000,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,f21bea2033bc5fa604d0b4c3a2a417ee, , 
 , ,Charu C. Aggarwal and Joel L. Wolf and Philip S. Yu,SIGMOD Conference, ,conf/sigmod/99, ,Alex Delis and Christos Faloutsos and Shahram Ghandeharizadeh, , , , , , , , , ,ACM Press, , ,A New Method for Similarity Indexing of Market Basket Data., , ,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,22f6cc80d137f2b7a49e7544ea860dde, , 
 , ,Vijay Aggarwal, , , , , , , ,Computers & OR, , , ,1, , , , , ,A Lagrangean-relaxation method for the constrained assignment problem., ,12,1985,article,http://www.bibsonomy.org/api/tags/dblpdblp,d5bf7ad243e7220ba12960c2c49d5ad0, , 
 , ,Vijay Aggarwal and R. Suresh, , , , , , , ,Computers & OR, , , ,2, , , , , ,A Shortest-route approach for optimum aggregation of data with an application to income data., ,12,1985,article,http://www.bibsonomy.org/api/tags/dblpdblp,0c17c2778c6e31bbf3b9181fe5dc9f6d, , 
 , ,Charu C. Aggarwal and Philip S. Yu,"Proceedings of the 2000 ACM SIGMOD International Conference on
               Management of Data, May 16-18, 2000, Dallas, Texas, USA", , , ,Weidong Chen and Jeffrey F. Naughton and Philip A. Bernstein, , , , , , , , , ,ACM, , ,Finding Generalized Projected Clusters In High Dimensional Spaces, , ,2000,inproceedings,http://www.bibsonomy.org/api/tags/svdsvdhttp://www.bibsonomy.org/api/tags/clusteringclusteringhttp://www.bibsonomy.org/api/tags/projectedprojected,0f27054d7195531200761b0160df2978, , 
 , ,J. K. Aggarwal,DICTA, ,conf/dicta/2005, , , , , , , , , , , ,IEEE Computer Society, , ,Human Activity Recognition- A Grand Challenge., , ,2005,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,318fa7350ce5034b0b910bd2f4f989a3, , 
 , ,Michael A. Terry and Jonathan Marcus and Matthew Farrell and Varun Aggarwal and Una-May O'Reilly,EvoWorkshops, ,conf/evoW/2006, ,Franz Rothlauf and Jürgen Branke and Stefano Cagnoni and Ernesto Costa and Carlos Cotta and Rolf Drechsler and Evelyne Lutton and Penousal Machado and Jason H. Moore and Juan Romero and George D. Smith and Giovanni Squillero and Hideyuki Takagi, , , , , , , , , ,Springer, ,Lecture Notes in Computer Science,GRACE: Generative Robust Analog Circuit Exploration., ,3907,2006,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,b6991f69aaee59e9268cdf999aacc520, , 
 , ,A. K. Aggarwal and Marilyn D. Oblak and Rao R. Vemuganti, , , , , , , ,Computers & OR, , , ,10, , , , , ,A heuristic solution procedure for multicommodity integer flows., ,22,1995,article,http://www.bibsonomy.org/api/tags/dblpdblp,a9d484d6a6b678c98657f34a33a006f0, , 
 , ,Anil K. Aggarwal and Ron Legon and A. Milton Jenkins and Dubravka Cecez-Kecmanovic and Salvatore Valenti and Reima Suomi,ECIS, ,conf/ecis/2001, , , , , , , , , , , , , , ,Panel: Web based education (WBE) and diffusion., , ,2001,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,e5de9ec8668f3fa2c899dbaff2ea514f, , 
 , ,Jon A. Webb and Jake K. Aggarwal, , , , , , , ,Artif. Intell., , , ,1, , , , , ,Structure from Motion of Rigid and Jointed Objects., ,19,1982,article,http://www.bibsonomy.org/api/tags/dblpdblp,b9095dc2f3bfab2de0e284a9ee425bea, , 
 , ,L. Richard Carley and Akshay Aggarwal,ISLPED, ,conf/islped/1999, ,Farid N. Najm and Jason Cong and David Blaauw, , , , , , , , , ,ACM, , ,A completey on-chip voltage regulation technique for low power digital circuits., , ,1999,inproceedings,http://www.bibsonomy.org/api/tags/dblpdblp,dbb8b886ef3f5c8c4cf8f2bb8d797c00, , 
